"Position ID","Predicted Move","Correct Moves","Correctness","Piece","Tag"
"0","d2,b2,d4,g7,f2,c4,e7,b6,d1,c5,b4,d3,f8,f5,c7,f6,e5,c2,e2,a4,+,b3,c1,$,f4,e4,d8","d2","true","K","King"
"1","d3,c3,c2,e3,e2,c1,d1,e1,d4,g2,f4,f2,g5,d5,d7,a5,b3,h6,e4,$,+,d2,b4,e5,f3,c5,h2","e3,d3,c3,e2,c2,d1,c1","true","Kd2","King"
"2","e1,e8,d1,e3,d3,c1,g1,d4,f3,f1,e7,g5,d6,d5,f2,c2,e2,b7,0-1,e5,b1,f4,d2,h1,c3,f7,","e1","true","K","King"
"3","g1,c1,d1,e2,f1,d2,b1,h1,g3,f2,f4,g5,e4,-,e6,c4,+,g2,c6,P,h4,c3,g8,c5,d3,f5,h5","e2,d2,f1,d1,g1","false","Ke1","King"
"4","d1,e1,e2,c1,d2,d3,d8,c8,h1,b1,d7,f5,e8,a4,b4,f1,c4,e5,c3,e7,a5,+,c6,g3,c2,f3,0-1","d1","true","K","King"
"5","e1,d2,c1,c2,e2,d3,g2,d4,d7,c3,d6,g1,a4,b1,b2,d8,d5,b3,b7,e3,f2,e7,a1,c7,f3,N,f1","d2,e1,c1","true","Kd1","King"
"6","e8,e1,e7,g8,c7,d5,f7,c8,d7,d6,e2,b7,b5,c2,b8,d4,e5,d8,d3,g5,g7,a8,b6,c5,1-0,+,","e8","true","K","KingAsBlack"
"7","d7,g7,f6,f7,f8,d8,a4,e5,h5,h6,f5,c5,b6,P,c6,N,b2,h7,d6,b7,e2,c7,d2,a7,Q,c4,b4","d7","true","Ke8","KingAsBlack"
"8","e8,e6,d8,g8,b8,e1,a8,d7,c8,h8,d3,d5,c7,c6,b7,f8,e7,f7,g1,h6,,d4,1-0,a4,e2,c2,c4","e8","true","K","KingAsBlack"
"9","g8,c8,e7,d8,d7,f8,b8,g1,h6,b4,g5,d4,f7,f6,h8,g4,e2,g6,d6,h4,P,f4,h5,c6,d5,g2,f5","d8","false","Ke8","KingAsBlack"
"10","e1,d3,e8,c1,0-1,e3,g1,e2,d2,b1,d4,f2,c4,d6,1/2-1/2,h3,g4,g3,a4,c2,c3,g6,b3,d5,h4,a1,h1","e1","true","K","KingUncommonOpening"
"11","d1,f2,x,h2,b2,b1,-,c1,f1,d2,e3,c3,e2,g3,a2,g2,g5,d3,f4,e4,f3,f5,,c6,c5,h4,h6","d1","true","Ke1","KingUncommonOpening"
