"Game String","Moves Until Error","Error Type","First Illegal Move","Predicted Tokens"
"Ng1f3 Pd7d5 Qd1b3 Bc8d7 Qb3d3 Pe7e6 Nf3e5 Bf8d6 Ne5f3 Bd6f4 Qd3b3 Bf4c1 Qb3d3 Pc7c5 Qd3b5 Pa7a6 Qb5b7 Bc1b2 Qb7b4 Bb2f6 Nb1c3 Nb8c6 Qb4b3 Ng8e7 Ke1c1 Ke8g8 Pe2e3 Pc5c4 Qb3b2 Ra8b8 Qb2b3 Pa6a5 Pd2d4 Pa5a4 Nc3a4 Pc4b3 Pc2b3 Rb8a8 Na4c5 Ra8c8 Nc5d7 Rc8a8 Qb3c2 Nc6b4 Qc2b2 Ph7h6 Nd7c5 Qd8d6 Pa2a3 Nb4a2 Kc1c2 Qd6a3 Qb2a2 Ra8a7 Kc2b2 Na2b4 Kb2c3 Nb4d5 Kc3d2 Ne7c6 Nc5d3 Rf8a8 Nd3c5 Nc6b4 Nc5d7 Nb4d3 Kd2e2 Nd3c5 Nd7c5 Ra7c7 Nf5d6 Rc7c5 Qa2b2 Rc5c1 Bf1b5 Qa3b2 Rh1c1 Qb2c1 Ke2d2 Rc1c5","2","path obstruction","Ng1f3 Pd7d5 Qd1b3","75 5 55 49 6 37 35 2 31 17 4 30 37 2 17 33 6 45 44 5 49 43 4 54 36 5 43 49 4 36 50 2 33 17 4 50 23 2 17 33 6 29 27 2 33 19 6 13 12 2 19 21 4 23 16 2 21 18 4 16 52 5 15 25 5 22 28 2 18 17 5 62 45 1 39 23 1 46 62 6 40 41 6 27 26 2 17 16 3 14 22 2 16 17 6 12 11 6 32 34 6 11 10 5 25 10 6 26 17 6 24 17 3 22 14 5 10 27 3 14 30 5 27 37 3 30 14 2 17 24 5 28 18 2 24 16 6 69 68 5 37 27 2 38 36 6 8 9 5 18 8 1 23 24 2 36 9 2 16 8 3 14 13 1 24 16 5 8 18 1 16 25 5 18 35 1 25 32 5 45 28 5 27 33 3 54 14 5 33 27 5 28 18 5 27 37 5 18 33 1 32 40 5 33 27 5 37 27 3 13 29 5 51 36 3 29 27 2 8 16 3 27 23 4 47 19 2 9 16 3 63 23 2 16 23 1 40 32 3 23 27"
"Pd2d4 Pe7e5 Pd4e3 Pf7f5 Pa2a4 Pd7d5 Pa4a5 Nb8c6 Pa5a6 Ng8e7 Pa6b7 Bc8b7 Pf2f3 Pd5d4 Pe3d4 Bf8d6 Pc2c3 Pe5e4 Pf3e4 Ne7g6 Pg2g3 Ke8g8 Bf1g2 Nc6e5 Pg3g4 Bd6f4 Ng1h3 Bb7g2 Rh1g1 Bf4h2 Rg1g2 Bh2g3 Ke1f1 Bg3f2 Kf1f2 Qd8h4 Kf2g1 Bg3h2 Kg1h2 Qh4f6 Kh2g3 Rf8f7 Kg3g4 Pf5g4 Pc3c4 Ra8f8 Kg4g3 Qf6g6 Kg3h2 Rf7f4 Kh2g2 Qg6h6 Kg2f2 Qh6h3 Kf2e1 Rf8f3 Ke1d2 Rf3e3 Kd2e1 Qh3g3 Ke1d2 Re3e2 Kd2d1 Re2g2 Kd1c1 Qg3g1 Kc1c2 Qg1b1 Kc2b1 Kg8f8 Kb1c2 Kf8e8 Kc2d2 Ke8d8 Kd2c2 Kd8c8 Kc2d2 Kc8b7 Kd2c2 Kb7b6","2","piece logic","Pd2d4 Pe7e5 Pd4e3","75 6 32 34 6 45 43 6 34 41 6 53 51 6 8 10 6 37 35 6 10 11 5 22 28 6 11 12 5 62 45 6 12 21 4 30 21 6 48 49 6 35 34 6 41 34 4 54 36 6 24 25 6 43 42 6 49 42 5 45 60 6 56 57 1 46 62 4 47 56 5 28 43 6 57 58 4 36 50 5 55 65 4 21 56 3 63 55 4 50 64 3 55 56 4 64 57 1 39 47 4 57 48 1 47 48 2 38 66 1 48 55 4 57 64 1 55 64 2 66 52 1 64 57 3 54 53 1 57 58 6 51 58 6 25 26 3 14 54 1 58 57 2 52 60 1 57 64 3 53 50 1 64 56 2 60 68 1 56 48 2 68 65 1 48 39 3 54 49 1 39 32 3 49 41 1 32 39 2 65 57 1 39 32 3 41 40 1 32 31 3 40 56 1 31 23 2 57 55 1 23 24 2 55 15 1 24 15 1 62 54 1 15 24 1 54 46 1 24 32 1 46 38 1 32 24 1 38 30 1 24 32 1 30 21 1 32 24 1 21 20"
"Pe2e3 Pe7e5 Ng1f3 Pe5e4 Nf3e5 Qd8g5 Pg2g3 Pd7d5 Bf1g2 Pc7c6 Pd2d3 Pe4d3 Pc2c4 Pd5c4 Bg2c6 Nb8c6 Qd1c2 Bc8d7 Ke1g1 Bf8b4 Pe3e4 Pa7a5 Bc1g5 Nc6e5 Pf2f4 Ne5g6 Pf4f5 Ng6e5 Qc2c3 Ne5g4 Nb1d2 Ng4e3 Qc3e3 Ke8c8 Nd2f3 Ng8f6 Nf3d4 Nf6g4 Nd4c6 Ng4e3 Rf1f7 Bd7c6 Kg1f2 Bb4c5 Kf2g2 Ne3g2 Nc6d8 Kc8d8 Nh3f4 Rh8e8 Rf7g7 Re8e3 Ra1f1 Re3e2 Rf1g1 Ng2e3 Rg7g2 Ne3g2 Kg2f2 Ng2e3 Kf2e3 Bc5d4 Ke3d4 Ne3c2 Kd4e5 Kd8e7 Pf5f6 Ke7f6 Ke5f6 Kf6e7 Kf6g5 Ke7d7 Kg5h4 Kd7c6 Kh4h3 Kc6b5 Kh3g4 Bc6e4 Kg4g5 Be4g6","32","path obstruction","Pe2e3 Pe7e5 Ng1f3 Pe5e4 Nf3e5 Qd8g5 Pg2g3 Pd7d5 Bf1g2 Pc7c6 Pd2d3 Pe4d3 Pc2c4 Pd5c4 Bg2c6 Nb8c6 Qd1c2 Bc8d7 Ke1g1 Bf8b4 Pe3e4 Pa7a5 Bc1g5 Nc6e5 Pf2f4 Ne5g6 Pf4f5 Ng6e5 Qc2c3 Ne5g4 Nb1d2 Ng4e3 Qc3e3","75 6 40 41 6 45 43 5 55 49 6 43 42 5 49 43 2 38 59 6 56 57 6 37 35 4 47 56 6 29 28 6 32 33 6 42 33 6 24 26 6 35 26 4 56 28 5 22 28 2 31 24 4 30 37 1 39 55 4 54 18 6 41 42 6 13 11 4 23 59 5 28 43 6 48 50 5 43 60 6 50 51 5 60 43 2 24 25 5 43 58 5 15 32 5 58 41 2 25 41 1 46 30 5 32 49 5 62 52 5 49 34 5 52 58 5 34 28 5 58 41 3 47 53 4 37 28 1 55 48 4 18 27 1 48 56 5 41 56 5 28 38 1 30 38 5 65 50 3 70 46 3 53 61 3 46 41 3 7 47 3 41 40 3 47 55 5 56 41 3 61 56 5 41 56 1 56 48 5 56 41 1 48 41 4 27 34 1 41 34 5 41 24 1 34 43 1 38 45 6 51 52 1 45 52 1 43 52 1 52 45 1 52 59 1 45 37 1 59 66 1 37 28 1 66 65 1 28 19 1 65 58 4 28 42 1 58 59 4 42 60"
"Pe2e3 Pe7e5 Pg2g3 Qd8f6 Bf1g2 Pe5e4 Ng1e2 Pd7d5 Pd2d4 Pc7c5 Nb1d2 Pc5d4 Pe3d4 Pa7a6 Nd2e4d6 Qd1 Ne4f6 Pg7f6 Pc2c3 Ng8h6 Ph2h3 Nb8c6 Ne2f4 Nc6e7 Nf4h5 Pb7b5 Pg3g4 Pb5b4 Pg4g5 Pb4c3 Pb2c3 Bc8e6 Pd4d5 Be6f5 Bc1b2 Pf6g5 Nh5g3 Bf5d3 Bg2d5 Bd3g6 Ke1d2 Pg5g4 Ph3g4 Ke8d8 Qd1a4 Ra8b8 Ra1e1 Ne7d5 Qa4a6 Nd5c3 Kd2c1 Nc3a2 Kc1b1 Na2c3 Kb1c1 Nc3a4 Kc1b1 Na4b2 Kb1a1 Nb2d3 Re1d1 Nd3f2 Ng3e4 Nf2h1 Rd1h1 Rh8g8 Rh1g1 Pf7f5 Ne4c5 Kd8c7 Bd5a2 Pf5g4 Ph3g4 Rg8g1 Nc5a6 Kc7b7 Na6c5 Kb7a7 Ba2b3 Rb8a8","14","syntax","Pe2e3 Pe7e5 Pg2g3 Qd8f6 Bf1g2 Pe5e4 Ng1e2 Pd7d5 Pd2d4 Pc7c5 Nb1d2 Pc5d4 Pe3d4 Pa7a6 Nd2e4d6","75 6 40 41 6 45 43 6 56 57 2 38 52 4 47 56 6 43 42 5 55 40 6 37 35 6 32 34 6 29 27 5 15 32 6 27 34 6 41 34 6 13 12 5 32 42 36 2 31 5 42 52 6 61 52 6 24 25 5 62 68 6 64 65 5 22 28 5 40 50 5 28 45 5 50 67 6 21 19 6 57 58 6 19 18 6 58 59 6 18 25 6 16 25 4 30 44 6 34 35 4 44 51 4 23 16 6 52 59 5 67 57 4 51 33 4 56 35 4 33 60 1 39 32 6 59 58 6 65 58 1 46 38 2 31 10 3 14 22 3 7 39 5 45 35 2 10 12 5 35 25 1 32 23 5 25 8 1 23 15 5 8 25 1 15 23 5 25 10 1 23 15 5 10 16 1 15 7 5 16 33 3 39 31 5 33 48 5 57 42 5 48 63 3 31 63 3 70 62 3 63 55 6 53 51 5 42 27 1 38 29 4 35 8 6 51 58 6 65 58 3 62 55 5 27 12 1 29 21 5 12 27 1 21 13 4 8 17 3 22 14"
"Pc2c3 Pc7c6 Pe2e3 Ph7h6 Pf2f4 Pd7d5 Ph2h3 Ng8f6 Pg2g4 Nf6e4 Ng1f3 Nb8d7 Nf3g5 Ph6g5 Pf4g5 Nd7f6 Pd2d4 Pe7e6 Bf1g2 Bf8e7 Nb1d2 Nf6h7 Ph3h4 Pf7f6 Pg5f6 Be7f6 Ph4h5 Pg7g6 Bg2h3 Bf6h4 Ke1d2 Pg6g5 Pe3e4 Pd5e4 Nd2e4 Bh4g5 Bc1g5 Bc8d7 Pg4g5 Ph6g5 Pf4g5 Bd7h3 Qd1f3 Qd8g5 Kd2e2 Nh7g5 Ke2f2 Ng5f3 Kf2f3 Qg5e3 Kf3g4 Qe3d4 Pc3d4 Pe6e5 Bh3g2 Pe5d4 Kg4f3 Pd4d3 Kf3e3 Bh3g2 Rh1g1 Ke8e7 Rg1g2 Bg2d5 Ke3d4 Bd5g2 Ne4c3 Ra8f8 Kd4c3 Pb7b5 Pb2b3 Pc6c5 Kc3b3 Pc5c4 Pb3c4 Bg2d5 Kb3b2 Bd5c4 Ra1g1 Rf8f7","30","path obstruction","Pc2c3 Pc7c6 Pe2e3 Ph7h6 Pf2f4 Pd7d5 Ph2h3 Ng8f6 Pg2g4 Nf6e4 Ng1f3 Nb8d7 Nf3g5 Ph6g5 Pf4g5 Nd7f6 Pd2d4 Pe7e6 Bf1g2 Bf8e7 Nb1d2 Nf6h7 Ph3h4 Pf7f6 Pg5f6 Be7f6 Ph4h5 Pg7g6 Bg2h3 Bf6h4 Ke1d2","75 6 24 25 6 29 28 6 40 41 6 69 68 6 48 50 6 37 35 6 64 65 5 62 52 6 56 58 5 52 42 5 55 49 5 22 37 5 49 59 6 68 59 6 50 59 5 37 52 6 32 34 6 45 44 4 47 56 4 54 45 5 15 32 5 52 69 6 65 66 6 53 52 6 59 52 4 45 52 6 66 67 6 61 60 4 56 65 4 52 66 1 39 32 6 60 59 6 41 42 6 35 42 5 32 42 4 66 59 4 23 59 4 30 37 6 58 59 6 68 59 6 50 59 4 37 65 2 31 49 2 38 59 1 32 40 5 69 59 1 40 48 5 59 49 1 48 49 2 59 41 1 49 58 2 41 34 6 25 34 6 44 43 4 65 56 6 43 34 1 58 49 6 34 33 1 49 41 4 65 56 3 63 55 1 46 45 3 55 56 4 56 35 1 41 34 4 35 56 5 42 25 3 14 54 1 34 25 6 21 19 6 16 17 6 28 27 1 25 17 6 27 26 6 17 26 4 56 35 1 17 16 4 35 26 3 7 55 3 54 53"
"Pa2a3 Pc7c6 Pe2e3 Pg7g5 Qd1h5 Pg5g4 Qh5g4 Ph7h5 Qg4d1 Pd7d5 Qd1h5e2 Pb2b1a3a4 Qb2a1 Bc1b2 Qa1b2 Ke1d1 Qb2a1 Kd1e1 Qa1a4 Pg2g3 Qa4c2 Ke1e2 Qc2c1 Ke2f3 Qc1b2 Kf3g2 Qb2e5 Kg2h3 Qe5a1 Kh3g4 Qa1f1 Kg4f3 Nb8d7 Qh5f7 Ke8f7 Pg3g4 Nd7e5 Kf3e4 Qf1g2 Ke4f5 Qg2h1 Ph2h4 Qh1g1 Kf5e5 Ng8f6 Ke5f5 Bf8g7 Kf5g5 Qg1h2 Kg5f4 Pd5d4 Kf4g5 Qh2h4 Kg5f5 Bc8g4 Kf5g5 Qh4g3 Kg5f5 Qg3g1 Kf5e4 Qg1e3 Ke4f5 Qe3a3 Kf5e6 Qa3b2 Ke6f5 Pd4d3 Kf5g4 Qb2b3 Kg4h5 Qb3a4 Kh5g5 Rh8g8 Kg5f5 Bg7h6 Kf5e5 Rg8g1 Ke5f5 Rg1f1","10","syntax","Pa2a3 Pc7c6 Pe2e3 Pg7g5 Qd1h5 Pg5g4 Qh5g4 Ph7h5 Qg4d1 Pd7d5 Qd1h5e2","75 6 8 9 6 29 28 6 40 41 6 61 59 2 31 67 6 59 58 2 67 58 6 69 67 2 58 31 6 37 35 2 31 67 40 6 16 15 9 10 2 16 7 4 23 16 2 7 16 1 39 31 2 16 7 1 31 39 2 7 10 6 56 57 2 10 24 1 39 40 2 24 23 1 40 49 2 23 16 1 49 56 2 16 43 1 56 65 2 43 7 1 65 58 2 7 47 1 58 49 5 22 37 2 67 53 1 46 53 6 57 58 5 37 43 1 49 42 2 47 56 1 42 51 2 56 63 6 64 66 2 63 55 1 51 43 5 62 52 1 43 51 4 54 61 1 51 59 2 55 64 1 59 50 6 35 34 1 50 59 2 64 66 1 59 51 4 30 58 1 51 59 2 66 57 1 59 51 2 57 55 1 51 42 2 55 41 1 42 51 2 41 9 1 51 44 2 9 16 1 44 51 6 34 33 1 51 58 2 16 17 1 58 67 2 17 10 1 67 59 3 70 62 1 59 51 4 61 68 1 51 43 3 62 55 1 43 51 3 55 47"
"Ng1f3 Pe7e5 Nf3e5 Bf8b4 Pa2a3 Bb4a5 Pb2b4 Ba5b6 Ne5c4 Ng8f6 Nc4e5 Ke8g8 Ne5f3 Pd7d5 Nf3d4 Pc7c5 Pb4c5 Bb6c5 Pe2e3 Bc5d4 Pe3d4 Bc8g4 Bf1e2 Bg4e2 Qd1e2 Nf6e4 Ne5f3 Qd8d4 Qe2e3 Qd4a1 Nb1c3 Ne4c3 Qe3c3 Rf8d8 Ke1g1 Rd8d4 Qc3c7 Nb8c6 Qc7b7 Rd4f4 Qb7c6 Rf4h4 Pg2g3 Rh4h3 Qc6g2 Ra8d8 Ph2h3 Rd8b8 Qg2g4 Rb8b2 Qg4g2 Rb2c2 Qg2f1 Rc2c1 Kg1g2 Pd5d4 Qf1e2 Pd4d3 Qe2d1 Rc1d1 Qd1d1 Pd4d3 Qd1d3 Pg7g5 Kg2h2 Pf7f5 Pg3g4 Pf5g4 Ph3g4 Rb2b1 Kh2g2 Rb1b2 Kg2f3 Rb2b1 Pa3a4 Rb1b3 Kf3e2 Rb3b1 Ke2f3 Rb1h1","26","pseudolegal","Ng1f3 Pe7e5 Nf3e5 Bf8b4 Pa2a3 Bb4a5 Pb2b4 Ba5b6 Ne5c4 Ng8f6 Nc4e5 Ke8g8 Ne5f3 Pd7d5 Nf3d4 Pc7c5 Pb4c5 Bb6c5 Pe2e3 Bc5d4 Pe3d4 Bc8g4 Bf1e2 Bg4e2 Qd1e2 Nf6e4 Ne5f3","75 5 55 49 6 45 43 5 49 43 4 54 18 6 8 9 4 18 11 6 16 18 4 11 20 5 43 26 5 62 52 5 26 43 1 46 62 5 43 49 6 37 35 5 49 34 6 29 27 6 18 27 4 20 27 6 40 41 4 27 34 6 41 34 4 30 58 4 47 40 4 58 40 2 31 40 5 52 42 5 43 49 2 38 34 2 40 41 2 34 7 5 15 25 5 42 25 2 41 25 3 54 38 1 39 55 3 38 34 2 25 29 5 22 28 2 29 21 3 34 50 2 21 28 3 50 66 6 56 57 3 66 65 2 28 56 3 14 38 6 64 65 3 38 22 2 56 58 3 22 16 2 58 56 3 16 24 2 56 47 3 24 23 1 55 56 6 35 34 2 47 40 6 34 33 2 40 31 3 23 31 2 31 31 6 34 33 2 31 33 6 61 59 1 56 64 6 53 51 6 57 58 6 51 58 6 65 58 3 16 15 1 64 56 3 15 16 1 56 49 3 16 15 6 9 10 3 15 17 1 49 40 3 17 15 1 40 49 3 15 63"
"Pd2d4 Ph7h5 Pg2g3 Pe7e5 Pd4e5 Bf8c5 Pc2c3 Pc7c6 Bc1e3 Bc5e3 Pf2e3 Nb8a6 Pb2b4 Na6b4 Pc3b4 Be3d4 Ng1f3 Bd4e5 Nf3e5 Qd8e7 Ne5f3 Qe7f6 Nb1c3 Pc6c5 Bf1g2 Qf6c3 Bg2b7 Ra8b8 Bb7a6 Rb8b6 Pa2a3 Rb6a6 Nf3d4 Qc3e3 Bf2e3 Ra6a3 Ra1a3 Ng8f6 Ra3b3 Nf6g4 Rb3b5 Pa7a6 Rb5a5 Ng4e3 Pd4e3 Na6c7 Ra5c5 Ke8g8 Rc5c7 Pd7d5 Rc7c6 Rb8d8 Ke1f2 Pd5d4 Kf2g2 Pd4e3 Ph2h3 Bc8a6 Kg2g1 Ba6e2 Qd1e2 Rd8d2 Qe2e3 Rd2e2 Qe3e2 Pf7f5 Qe2e3 Pf5f4 Kg1f2 Pf4e3 Kf2e3 Be2b5 Ph3h4 Ph7h6 Pg3g4 Ph6h5 Pg4h5 Rf8e8 Ke3f2 Pg7g5","15","pseudolegal","Pd2d4 Ph7h5 Pg2g3 Pe7e5 Pd4e5 Bf8c5 Pc2c3 Pc7c6 Bc1e3 Bc5e3 Pf2e3 Nb8a6 Pb2b4 Na6b4 Pc3b4 Be3d4","75 6 32 34 6 69 67 6 56 57 6 45 43 6 34 43 4 54 27 6 24 25 6 29 28 4 23 41 4 27 41 6 48 41 5 22 12 6 16 18 5 12 18 6 25 18 4 41 34 5 55 49 4 34 43 5 49 43 2 38 45 5 43 49 2 45 52 5 15 25 6 28 27 4 47 56 2 52 25 4 56 21 3 14 22 4 21 12 3 22 20 6 8 9 3 20 12 5 49 34 2 25 41 4 48 41 3 12 9 3 7 9 5 62 52 3 9 17 5 52 58 3 17 19 6 13 12 3 19 11 5 58 41 6 34 41 5 12 29 3 11 27 1 46 62 3 27 29 6 37 35 3 29 28 3 22 38 1 39 48 6 35 34 1 48 56 6 34 41 6 64 65 4 30 12 1 56 55 4 12 40 2 31 40 3 38 32 2 40 41 3 32 40 2 41 40 6 53 51 2 40 41 6 51 50 1 55 48 6 50 41 1 48 41 4 40 19 6 65 66 6 69 68 6 57 58 6 68 67 6 58 67 3 54 46 1 41 48 6 61 59"
"Ph2h4 Pe7e6 Ph4h5 Ph7h6 Pd2d4 Bf8b4 Pc2c3 Bb4d6 Pe2e3 Ng8f6 Pf2f3 Ke8g8 Pg2g3 Pa7a5 Bc1d2 Pb7b6 Bf1d3 Bc8b7 Pf3f4 Bb7g2 Rh1h2 Bg2d5 Ng1e2 Pc7c6 Nb1a3 Bd5d3 Qd1c2 Bd3c2 Na3c2 Nb8a6 Pb2b3 Nf6d5 Ke1d1 Na6c5 Pc3c4 Nd5e3 Bd2e3 Pf7f5 Pc4c5 Pb6c5 Pd4c5 Pa5a4 Kd1c1 Bd6a3 Kc1b1 Ba3b4 Be3d2 Bb4d2 Ra1a4 Bd2a5 Rh2d2 Ba5d2 Ne2c3 Kg8f7 Pb3b4 Rf8d8 Ra4c4 Rd8d4 Kb1a2 Rd4c4 Pb4b5 Pc6b5 Pc5c6 Pd7c6 Pb5b6 Ra8a2 Ka2b3 Rc4c3 Kb3c3 Qa2a1 Kc3d4 Qa1c3 Kd4e5 Qc3b3 Ke5f5 Qb3a4 Pg3g4 Pc6c5 Kf5e6 Qa4g4","25","piece logic","Ph2h4 Pe7e6 Ph4h5 Ph7h6 Pd2d4 Bf8b4 Pc2c3 Bb4d6 Pe2e3 Ng8f6 Pf2f3 Ke8g8 Pg2g3 Pa7a5 Bc1d2 Pb7b6 Bf1d3 Bc8b7 Pf3f4 Bb7g2 Rh1h2 Bg2d5 Ng1e2 Pc7c6 Nb1a3 Bd5d3","75 6 64 66 6 45 44 6 66 67 6 69 68 6 32 34 4 54 18 6 24 25 4 18 36 6 40 41 5 62 52 6 48 49 1 46 62 6 56 57 6 13 11 4 23 32 6 21 20 4 47 33 4 30 21 6 49 50 4 21 56 3 63 64 4 56 35 5 55 40 6 29 28 5 15 9 4 35 33 2 31 24 4 33 24 5 9 24 5 22 12 6 16 17 5 52 35 1 39 31 5 12 27 6 25 26 5 35 41 4 32 41 6 53 51 6 26 27 6 20 27 6 34 27 6 11 10 1 31 23 4 36 9 1 23 15 4 9 18 4 41 32 4 18 32 3 7 10 4 32 11 3 64 32 4 11 32 5 40 25 1 62 53 6 17 18 3 54 38 3 10 26 3 38 34 1 15 8 3 34 26 6 18 19 6 28 19 6 27 28 6 37 28 6 19 20 3 14 8 1 8 17 3 26 25 1 17 25 2 8 7 1 25 34 2 7 25 1 34 43 2 25 17 1 43 51 2 17 10 6 57 58 6 28 27 1 51 44 2 10 58"
"Pc2c4 Pg7g6 Ph2h4 Ph7h6 Pg2g4 Ng8f6 Bf1h3 Nf6g4 Pe2e3 Ng4e5 Nb1c3 Pd7d6 Ng1e2 Pf7f6 Pd2d4 Ne5g4 Ph4h5 Bf8g7 Ph5h6 Bg7f8 Bh3g4 Bc8g4 Pf2f3 Bg4f5 Bc1d2 Ng4h6 Pe3e4 Bf5g6 Pe4e5 Pf6f5 Pe5e6 Nh6f7 Qd1c1 Qd8c8 Ke1g1 Ke8g8 Qc1c2 Bf8h6 Rf1e1 Qc8e6 Nc3e4 Rf8f3 Ne2g3 Qe6c4 Pd4d5 Bg6c2 Re1e2 Qc4d5 Ne4f6 Kg8h8 Re2f2 Rf3f2 Ra1d1 Rf2f1 Rd1f1 Ra8f8 Kg1g2 Qd5f7 Kg2f2 Qf7f6 Ng3e4 Qf6g6 Kf2g1 Qg6e4 Kg1f2 Bh6e3 Kf2g2 Qe4e2 Kg2g3 Qe2e3 Kg3g2 Be3h6 Ne4g5 Bg6e4 Kg2h2 Be4f3 Kh2g3 Qe3e2 Kg3f3 Qe2d2","18","path obstruction","Pc2c4 Pg7g6 Ph2h4 Ph7h6 Pg2g4 Ng8f6 Bf1h3 Nf6g4 Pe2e3 Ng4e5 Nb1c3 Pd7d6 Ng1e2 Pf7f6 Pd2d4 Ne5g4 Ph4h5 Bf8g7 Ph5h6","75 6 24 26 6 61 60 6 64 66 6 69 68 6 56 58 5 62 52 4 47 65 5 52 58 6 40 41 5 58 43 5 15 25 6 37 36 5 55 40 6 53 52 6 32 34 5 43 58 6 66 67 4 54 61 6 67 68 4 61 54 4 65 58 4 30 58 6 48 49 4 58 51 4 23 32 5 58 68 6 41 42 4 51 60 6 42 43 6 52 51 6 43 44 5 68 53 2 31 23 2 38 30 1 39 55 1 46 62 2 23 24 4 54 68 3 47 39 2 30 44 5 25 42 3 54 49 5 40 57 2 44 26 6 34 35 4 60 24 3 39 40 2 26 35 5 42 52 1 62 70 3 40 48 3 49 48 3 7 31 3 48 47 3 31 47 3 14 54 1 55 56 2 35 53 1 56 48 2 53 52 5 57 42 2 52 60 1 48 55 2 60 42 1 55 48 4 68 41 1 48 56 2 42 40 1 56 57 2 40 41 1 57 56 4 41 68 5 42 59 4 60 42 1 56 64 4 42 49 1 64 57 2 41 40 1 57 49 2 40 32"
