"Position ID","Predicted Move","Correct Moves","Correctness","Piece","Tag"
"0","d2,c8,d1,c2,c7,d8,K,h2,h4,f5,P,f2,c1,N,a5,c4,c5,B,,b2,b4,d7,d4,e4,h1,d5,0-1","d2","true","K","King"
"1","c3,c2,d3,e3,d1,e2,c1,e1,g5,d7,b1,g3,b3,c5,a5,a1,f4,e5,e7,a3,d8,a4,c7,e6,a2,d4,d2","e3,d3,c3,e2,c2,d1,c1","true","Kd2","King"
"2","e1,e8,f3,f8,d8,f6,d1,f7,f2,f1,f5,g1,h1,h5,g3,h6,f4,h3,d7,g4,e5,g6,g8,d3,h4,e7,c1","e1","true","K","King"
"3","g1,e2,d2,f1,c1,d1,f2,g2,b1,c3,c4,g8,e1,c5,c2,N,f4,e4,d3,g3,b3,c6,a2,K,h2,B,c8","e2,d2,f1,d1,g1","false","Ke1","King"
"4","d1,c8,d8,c1,f2,e1,f5,c2,0-1,e2,a5,d2,d7,,e7,g3,a4,c3,K,f6,c6,B,h4,h6,f7,c7,d3","d1","true","K","King"
"5","e1,d2,c1,e2,c2,b1,d3,d4,g2,e7,g1,e8,b2,f2,c3,d8,d7,f1,a1,f4,c8,d1,b3,c7,d6,e4,g7","d2,e1,c1","true","Kd1","King"
"6","e8,e1,h5,g4,g5,f3,f2,f5,d3,e7,a4,,c2,g6,g8,f8,f1,B,d7,1-0,d1,e5,R,N,e6,b5","e8","true","K","KingAsBlack"
"7","d7,e7,h5,e5,g8,f4,c6,a4,d8,f5,f7,b2,d6,c4,f6,e8,e1,1-0,f3,e6,c2,g7,a2,b7,e4,f8","d7","true","Ke8","KingAsBlack"
"8","e8,g8,e1,f1,f8,g4,f2,f3,d5,g1,d3,e6,f5,h5,f6,f4,h8,g3,a4,g6,d1,h6,b5,g5,B,,e4","e8","true","K","KingAsBlack"
"9","g8,d8,e7,c8,f8,d7,g1,b8,e2,f7,f5,g6,f1,d1,e6,c1,e3,g4,e5,,a8,a4,e8,b4,b5,c6,d5","d8","false","Ke8","KingAsBlack"
"10","e1,d2,e8,d3,f3,f2,c2,f4,h3,f1,e7,h4,f5,g4,h5,h6,g5,g1,c1,e2,K,d1,h2,,P,f8,d7","e1","true","K","KingUncommonOpening"
"11","d1,h2,e1,e2,c2,b1,f2,d2,e7,e3,d7,c3,b2,f3,g5,a5,c4,h4,a1,e5,e8,N,f1,e4,d4,a2,a3","d1","true","Ke1","KingUncommonOpening"
"12","e1,e8,f1,d7,f2,f5,f3,e7,g4,f6,h5,f8,e5,f4,d8,d2,d3,e2,f7,d1,c2,,g1,d6,K,b5","e1","true","K","KingUncommonOpening"
