"Position ID","Predicted Move","Correctness"
"0","Qd2c3","true"
"1","Pd5c4","true"
"2","Bc1b2","true"
"3","Pg2g4","true"
"4","Pg7g6","true"
"5","Rh8h7","true"
"6","Pf5g4","true"
"7","Qd1e2","true"
"8","Pb2b4","true"
"9","Pe6e5","true"
"10","Ra8c8","true"
"11","Kc5b5","false"
"12","Rf1e1","true"
"13","Re3g3","false"
"14","Rd7d8","true"
"15","Nc7e6","true"
"16","Kd5d6","true"
"17","Be5a1","true"
"18","Ke1f2","true"
"19","Rc3c4","true"
"20","Bc8d7","false"
"21","Qg5g7","true"
"22","Bc8d7","true"
"23","Kg8h7","false"
"24","Kf1g2","true"
"25","Ke8d7","true"
"26","Ke1d1","true"
"27","Kg8h7","true"
"28","Ke8e7","true"
"29","Nh6f7","true"
"30","Pb2b4","true"
"31","Ph2h3","false"
"32","Kg3g4","true"
"33","Ke8e7","true"
"34","Kc1c2","true"
"35","Ba3b2","true"
"36","Pg2g4","false"
"37","Qa5c3","false"
"38","Qe7d7","false"
"39","Bf1h3","true"
"40","Nc3d1","true"
"41","Nh6g4","true"
"42","Ke8c8","false"
"43","Qd7e7","true"
"44","Ne4d6","true"
"45","Nf6d5","true"
"46","Rh8g8","false"
"47","Bd5e4","true"
"48","Rf8e8","false"
"49","Ra7e7","true"
"50","Bf1g2","true"
"51","Pb5c4","true"
"52","Bd1f3","true"
"53","Pb2b3","true"
"54","Ph4h3","true"
"55","Pe4f3","true"
"56","Kg4f3","false"
"57","Kh8g8","false"
"58","Pc7c5","false"
"59","Bf1c4","true"
"60","Qa5a3","true"
"61","Rd1d6","true"
"62","Pc4c5","true"
"63","Bd2a5","true"
"64","Kh8h7","false"
"65","Nc6d4","false"
"66","Pc7c5","true"
