"Game String","Moves Until Error","Error Type","First Illegal Move","Predicted Tokens"
"Ng1h3- Pe7e5- Pd2d3- Pd7d6- Bc1e3- Qd8e7- Nb1c3- Bc8e6- Qd1d2- Pf7f6- Be3g5- Qe7f7- Nc3b5- Pc7c6- Qd2c3- Nb8d7- Bg5d2- Bf8e7- Ke1c1- Pa7a6- Pa2a3- Pa6b5x Nb5c3- Qf7g6- Pb2b4- Ke8g8- Pa3a4- Nd7c5- Pa4b5x Pc6c5- Pb4c5x Pd6c5x Pd3d4- Ng8e7- Pd4c5x Pd6c5x Pd4e5x Be7c5x Rd1e1- Qg6f7- Pe2e4- Qf7e7- Re1d1- Be6d5- Bf1b5- Bd5f3- Rd1e1- Bf3e4x Pg2g3- Be4h1x Qc3b2- Bc5d6- Pf2f3- Bd6e5x Bb5e2- Be5c7- Bd2g5- Pf6g5x Pf3f4- Pg5f4x Pg3f4x Bc5d4+ Pc2c3- Bd4c3$ Kc1d2- Pf4f3- Kd2c3x Ne7c6- Rd1g1- Rf8f4- Rg1g5- Rf4g4- Nh3f4- Nc6e5- Rg5f5- Ne5g4- Ph2h3- Ng4f2- Re2h2- Kg8f7-","22","path obstruction","Ng1h3- Pe7e5- Pd2d3- Pd7d6- Bc1e3- Qd8e7- Nb1c3- Bc8e6- Qd1d2- Pf7f6- Be3g5- Qe7f7- Nc3b5- Pc7c6- Qd2c3- Nb8d7- Bg5d2- Bf8e7- Ke1c1- Pa7a6- Pa2a3- Pa6b5x Nb5c3-","75 5 55 65 76 6 45 43 76 6 32 33 76 6 37 36 76 4 23 41 76 2 38 45 76 5 15 25 76 4 30 44 76 2 31 32 76 6 53 52 76 4 41 59 76 2 45 53 76 5 25 19 76 6 29 28 76 2 32 25 76 5 22 37 76 4 59 32 76 4 54 45 76 1 39 23 76 6 13 12 76 6 8 9 76 6 12 19 81 5 19 25 76 2 53 60 76 6 16 18 76 1 46 62 76 6 9 10 76 5 37 27 76 6 10 19 81 6 28 27 76 6 18 27 81 6 36 27 81 6 33 34 76 5 62 45 76 6 34 27 81 6 36 27 81 6 34 43 81 4 45 27 81 3 31 39 76 2 60 53 76 6 40 42 76 2 53 45 76 3 39 31 76 4 44 35 76 4 47 19 76 4 35 49 76 3 31 39 76 4 49 42 81 6 56 57 76 4 42 63 81 2 25 16 76 4 27 36 76 6 48 49 76 4 36 43 81 4 19 40 76 4 43 29 76 4 32 59 76 6 52 59 81 6 49 50 76 6 59 50 81 6 57 50 81 4 27 34 77 6 24 25 76 4 34 25 79 1 23 32 76 6 50 49 76 1 32 25 81 5 45 28 76 3 31 55 76 3 54 50 76 3 55 59 76 3 50 58 76 5 65 50 76 5 28 43 76 3 59 51 76 5 43 58 76 6 64 65 76 5 58 48 76 3 40 64 76 1 62 53 76"
"Pd2d3- Pd7d5- Pe2e3- Pc7c6- Ph2h3- Qd8d7- Pa2a3- Qd7d8- Pb2b4- Qd8d7- Qd1f3- Qd7d8- Pg2g4- Qd8d1+ Ke1d1x Qd1e1- Pg4g5- Ph7h6- Pg5f6x Pg7f6x Bf1g2- Qe1f1- Nb1c3- Qf1e2- Pf2f3- Qe2g4- Bc1b2- Qg4h5- Qf3g4x Pf6f5- Bg2h3- Bc8f5- Bh3f5x Ng8f6- Pb4b5- Nf6d5- Nc3d5x Nd5b4- Nd5f4- Bf5c2x Kd1e2- Bc2d3+ Ke2d3x Pe7e6- Nf4h5x Pf7f6- Pf3f4- Nb4d3x Ra1b1- Bf8d6- Pg5f6x Nb8d7- Nh5f6$ Ke8d7- Ng1f3- Pg7f6x Bb2f6x Nd7f6x Nf3e5+ Kd7e8- Ne5c6x Rh8g8- Bh3e6x Nb4c6x Pf4f5- Nc6d4+ Kd3c3- Nd4c6+ Kc3c4- Nc6d4+ Kc4b5- Nd4f5x Kb5a6- Rg8d8- Be6f5x Rd8b8- Rh1a1- Rb8b7x Ra1e1- Rb7b2-","13","path obstruction","Pd2d3- Pd7d5- Pe2e3- Pc7c6- Ph2h3- Qd8d7- Pa2a3- Qd7d8- Pb2b4- Qd8d7- Qd1f3- Qd7d8- Pg2g4- Qd8d1+","75 6 32 33 76 6 37 35 76 6 40 41 76 6 29 28 76 6 64 65 76 2 38 37 76 6 8 9 76 2 37 38 76 6 16 18 76 2 38 37 76 2 31 49 76 2 37 38 76 6 56 58 76 2 38 31 77 1 39 31 81 2 31 39 76 6 58 59 76 6 69 68 76 6 59 52 81 6 61 52 81 4 47 56 76 2 39 47 76 5 15 25 76 2 47 40 76 6 48 49 76 2 40 58 76 4 23 16 76 2 58 67 76 2 49 58 81 6 52 51 76 4 56 65 76 4 30 51 76 4 65 51 81 5 62 52 76 6 18 19 76 5 52 35 76 5 25 35 81 5 35 18 76 5 35 50 76 4 51 24 81 1 31 40 76 4 24 33 77 1 40 33 81 6 45 44 76 5 50 67 81 6 53 52 76 6 49 50 76 5 18 33 81 3 7 15 76 4 54 36 76 6 59 52 81 5 22 37 76 5 67 52 79 1 46 37 76 5 55 49 76 6 61 52 81 4 16 52 81 5 37 52 81 5 49 43 77 1 37 46 76 5 43 28 81 3 70 62 76 4 65 44 81 5 18 28 81 6 50 51 76 5 28 34 77 1 33 25 76 5 34 28 77 1 25 26 76 5 28 34 77 1 26 19 76 5 34 51 81 1 19 12 76 3 62 38 76 4 44 51 81 3 38 22 76 3 63 7 76 3 22 21 81 3 7 39 76 3 21 16 76"
"Pc2c4- Pc7c6- Nb1c3- Pd7d5- Bf1d3- Ng8f6- Pe2e4- Nb8d7- Pe4e5- Nd7e5x Qd1f3- Ne5f3$ Pg2f3x Pd5d4- Pd2d3- Pe7e5- Pd3d4x Bf8d6- Pe4e5x Bd6e5x Nc3e4- Bc8f5- Ph2h4- Bf5e4- Ph4h5- Pg7g6- Ph5g6x Qd8d7- Pg6h7x Rh8h7x Pf3e4x Pf7f6- Pf2f3- Rh7h8- Pd4d5- Pc6c5- Ke1f2- Be5g7- Qf3f4- Bg7b2x Rh1g1- Bb2a1x Qf4h6- Pa7a6- Bc1e3- Ba1d4- Be3d4x Nf6e4$ Kf2e1- Ne4d2+ Ke1d1- Nd7c5- Qh6e3+ Bd4e3$ Qe3e3x Nd2b1+ Kd1c1- Nb1c3+ Kc1b1- Be3c3x Rg1e1- Bc3e1x Qe3e1x Ra8f8- Qe1e7- Rf8f2+ Kb1b2- Bc5b4- Pa2a3- Pb7b5- Qe7e3+ Ke8d7- Qe3d4- Pa6a5- Qd4c4+ Kd7c6- Qc4a6+ Kc6c5- Qa6c4+ Kc5d4-","4","path obstruction","Pc2c4- Pc7c6- Nb1c3- Pd7d5- Bf1d3-","75 6 24 26 76 6 29 28 76 5 15 25 76 6 37 35 76 4 47 33 76 5 62 52 76 6 40 42 76 5 22 37 76 6 42 43 76 5 37 43 81 2 31 49 76 5 43 49 79 6 56 49 81 6 35 34 76 6 32 33 76 6 45 43 76 6 33 34 81 4 54 36 76 6 42 43 81 4 36 43 81 5 25 42 76 4 30 51 76 6 64 66 76 4 51 42 76 6 66 67 76 6 61 60 76 6 67 60 81 2 38 37 76 6 60 69 81 3 70 69 81 6 49 42 81 6 53 52 76 6 48 49 76 3 69 70 76 6 34 35 76 6 28 27 76 1 39 48 76 4 43 61 76 2 49 50 76 4 61 16 81 3 63 55 76 4 16 7 81 2 50 68 76 6 13 12 76 4 23 41 76 4 7 34 76 4 41 34 81 5 52 42 79 1 48 39 76 5 42 32 77 1 39 31 76 5 37 27 76 2 68 41 77 4 34 41 79 2 41 41 81 5 32 15 77 1 31 23 76 5 15 25 77 1 23 15 76 4 41 25 81 3 55 39 76 4 25 39 81 2 41 39 81 3 14 54 76 2 39 45 76 3 54 48 77 1 15 16 76 4 27 18 76 6 8 9 76 6 21 19 76 2 45 41 77 1 46 37 76 2 41 34 76 6 12 11 76 2 34 26 77 1 37 28 76 2 26 12 77 1 28 27 76 2 12 26 77 1 27 34 76"
"Pf2f4- Pe7e5x Pg2g4- Nb8c6- Pg4g5- Nc6e7- Pe2e4- Pd7d5- Pf2f4- Nd5b6- Pf4f5- Pg7g6- Pf5g6x Pf7g6x Pg5g6x Ng8h6- Ph2h4- Ne7g6x Ph4h5- Ng6h8- Ke1e2- Bc8g4+ Ke2d3- Bg4h5x Bf1h3- Pg6h5x Bh3e6- Nh6f5- Pc2c4- Nf5e3+ Kd3e3x Nd4e6x Pd2d4- Ne6d4x Bc1e3x Pb7b6- Pd4e5x Nb6c4$ Ke3e4- Nc4e5x Be3d4- Ne5g4- Ph5h6- Ng4f2+ Ke4f4- Nf2d1x Kf4e5- Nd1f2- Ke5d4- Nf2h1x Kd4c5- Nh1f2- Bd4b2- Rh8h4- Bb2f6- Rh4e4- Kc5b4- Re4b4$ Kb4a4- Rb4g4- Nb1d2- Rg4g2- Pc4c5- Rg2h2- Ka4b4- Rh2h1- Kb4c5- Rh1d1- Nd2b3- Bf8h6x Pc5c6- Rd1d8x Pc6b7- Rd8b8- Kb4b3- Rb8b7$ Kb3c4- Pc7c5- Kc4c3- Pb6c5-","1","piece logic","Pf2f4- Pe7e5x","75 6 48 50 76 6 45 43 81 6 56 58 76 5 22 28 76 6 58 59 76 5 28 45 76 6 40 42 76 6 37 35 76 6 48 50 76 5 35 20 76 6 50 51 76 6 61 60 76 6 51 60 81 6 53 60 81 6 59 60 81 5 62 68 76 6 64 66 76 5 45 60 81 6 66 67 76 5 60 70 76 1 39 40 76 4 30 58 77 1 40 33 76 4 58 67 81 4 47 65 76 6 60 67 81 4 65 44 76 5 68 51 76 6 24 26 76 5 51 41 77 1 33 41 81 5 34 44 81 6 32 34 76 5 44 34 81 4 23 41 81 6 21 20 76 6 34 43 81 5 20 26 79 1 41 42 76 5 26 43 81 4 41 34 76 5 43 58 76 6 67 68 76 5 58 48 77 1 42 50 76 5 48 31 81 1 50 43 76 5 31 48 76 1 43 34 76 5 48 63 81 1 34 27 76 5 63 48 76 4 34 16 76 3 70 66 76 4 16 52 76 3 66 42 76 1 27 18 76 3 42 18 79 1 18 10 76 3 18 58 76 5 15 32 76 3 58 56 76 6 26 27 76 3 56 64 76 1 10 18 76 3 64 63 76 1 18 27 76 3 63 31 76 5 32 17 76 4 54 68 81 6 27 28 76 3 31 38 81 6 28 21 76 3 38 22 76 1 18 17 76 3 22 21 79 1 17 26 76 6 29 27 76 1 26 25 76 6 20 27 76"
"Ph2h3- Ph7h5- Nb1c3- Ph5h4- Pb2b3- Pd7d5- Bc1b2- Pe7e5- Qd1c1- Nb8c6- Bb2e5x Bf8d6- Ng1f3- Pf7f6- Nf3h4x Qd8e7- Nh4f3- Nc6e5x Pe2e3- Ne5f3$ Pg2f3x Ng8h6- Pd2d4- Qe7e4+ Ke1d2- Pc7c5- Nc3e4x Pd5e4x Nb3c5x Qe4f3x Qc1b2- Ke8g8- Kd2c3- Rf8e8- Pd4c5x Nh6f5- Qb2g7x Re8e1+ Kc3b4- Re1d1- Ra1d1x Nf5e3x Pa2a4- Pb7b6- Pc5c6- Pb6b5- Pc6c7- Ne3d1x Kb4b5x Qf3d1x Pc6c7- Qd1f1$ Kb5a6- Qf1a6$ Ka6b7- Qa6b7$ Kb7c6- Re1d1+ Kc6d5- Qb7c7$ Kd5e4- Qc7c4+ Ke4f4- Qc4c2x Kf4e5- Qc2d2- Ke5e6- Qd2d3- Ke6d7- Qd3f5+ Kd7e6- Qf5g4+ Ke6d6- Rd1d5+ Kd6c7- Qg4e4+ Kc7b7- Pf6f5- Kb7a6- Ph4h3x","10","path obstruction","Ph2h3- Ph7h5- Nb1c3- Ph5h4- Pb2b3- Pd7d5- Bc1b2- Pe7e5- Qd1c1- Nb8c6- Bb2e5x","75 6 64 65 76 6 69 67 76 5 15 25 76 6 67 66 76 6 16 17 76 6 37 35 76 4 23 16 76 6 45 43 76 2 31 23 76 5 22 28 76 4 16 43 81 4 54 36 76 5 55 49 76 6 53 52 76 5 49 66 81 2 38 45 76 5 66 49 76 5 28 43 81 6 40 41 76 5 43 49 79 6 56 49 81 5 62 68 76 6 32 34 76 2 45 42 77 1 39 32 76 6 29 27 76 5 25 42 81 6 35 42 81 5 17 27 81 2 42 49 81 2 23 16 76 1 46 62 76 1 32 25 76 3 54 46 76 6 34 27 81 5 68 51 76 2 16 61 81 3 46 39 77 1 25 18 76 3 39 31 76 3 7 31 81 5 51 41 81 6 8 10 76 6 21 20 76 6 27 28 76 6 20 19 76 6 28 29 76 5 41 31 81 1 18 19 81 2 49 31 81 6 28 29 76 2 31 47 79 1 19 12 76 2 47 12 79 1 12 21 76 2 12 21 79 1 21 28 76 3 39 31 77 1 28 35 76 2 21 29 79 1 35 42 76 2 29 26 77 1 42 50 76 2 26 24 81 1 50 43 76 2 24 32 76 1 43 44 76 2 32 33 76 1 44 37 76 2 33 51 77 1 37 44 76 2 51 58 77 1 44 36 76 3 31 35 77 1 36 29 76 2 58 42 77 1 29 21 76 6 52 51 76 1 21 12 76 6 66 65 81"
"Pc2c4- Ng8f6- Pg2g3- Pd7d6- Pf2f4- Bc8f5- Pe2e3- Pe7e6- Pa2a3- Pc7c6- Pb2b4- Pg7g6- Ph2h4- Ph7h6- Bc1b2- Nb8d7- Pa3a4- Pa7a6- Pa3a4- Pb7b6- Pb4b5- Pc6c5- Pa4a5- Nf6h7- Pa3a4- Nh7f6- Pd2d4- Nf6e4- Bf1d3- Pc5d4x Pe3d4x Ne4g3x Pd4d5- Pe6d5x Pc4d5x Bf8e7- Ng1f3- Nd7e5- Nf3e5x Pd6e5x Bd3e2- Be7f6- Rh1h2- Pf5f4x Be2a6x Ra8a6x Nb1d2- Ne5f3+ Qd1f3x Qd8d4+ Ke1e2- Qd4a1$ Ke2e3- Qa1a4x Qf3f6x Qa4a2+ Ke3d2- Qa2a1+ Kd2e3- Ra6b6- Qf6e5- Qa1b1- Qe5a1x Rb6b7- Qa1d1- Be6b3- Ph4h5- Bb3c2- Ph5h6x Qb1d1$ Ke3f3- Qd1h5+ Kf3e2- Rb7b8- Nd2f3- Rb8b1- Nf3e5- Rb1b5x Ne5c6- Rf8a8-","18","path obstruction","Pc2c4- Ng8f6- Pg2g3- Pd7d6- Pf2f4- Bc8f5- Pe2e3- Pe7e6- Pa2a3- Pc7c6- Pb2b4- Pg7g6- Ph2h4- Ph7h6- Bc1b2- Nb8d7- Pa3a4- Pa7a6- Pa3a4-","75 6 24 26 76 5 62 52 76 6 56 57 76 6 37 36 76 6 48 50 76 4 30 51 76 6 40 41 76 6 45 44 76 6 8 9 76 6 29 28 76 6 16 18 76 6 61 60 76 6 64 66 76 6 69 68 76 4 23 16 76 5 22 37 76 6 9 10 76 6 13 12 76 6 9 10 76 6 21 20 76 6 18 19 76 6 28 27 76 6 10 11 76 5 52 69 76 6 9 10 76 5 69 52 76 6 32 34 76 5 52 42 76 4 47 33 76 6 27 34 81 6 41 34 81 5 42 57 81 6 34 35 76 6 44 35 81 6 26 35 81 4 54 45 76 5 55 49 76 5 37 43 76 5 49 43 81 6 36 43 81 4 33 40 76 4 45 52 76 3 63 64 76 6 51 50 81 4 40 12 81 3 14 12 81 5 15 32 76 5 43 49 77 2 31 49 81 2 38 34 77 1 39 40 76 2 34 7 79 1 40 41 76 2 7 10 81 2 49 52 81 2 10 8 77 1 41 32 76 2 8 7 77 1 32 41 76 3 12 20 76 2 52 43 76 2 7 15 76 2 43 7 81 3 20 21 76 2 7 31 76 4 44 17 76 6 66 67 76 4 17 24 76 6 67 68 81 2 15 31 79 1 41 49 76 2 31 67 77 1 49 40 76 3 21 22 76 5 32 49 76 3 22 15 76 5 49 43 76 3 15 19 81 5 43 28 76 3 54 14 76"
"Pd2d4- Nb8c6- Pe2e3- Pe7e5- Bf1b5- Bf8c5- Pd4c5x Pd7d6- Pc2c3- Ng8f6- Nb1c3- Pd6c5x Pb2b4- Pc5d4- Qd1d4x Qd8d4x Ke1g1- Nc6e5- Pc3c4- Qd4b6- Pb4c5- Pe5e4- Nc3e4x Bc8e6- Ne4c3- Ra8b8- Nc3d5- Nf6d5x Pe3d5x Be6d5x Bc1b2- Bd5e4- Bb2g7x Qb6f2$ Kg1h1- Qf2g2$ Kh1g2x Rb8d8- Bg7b2- Rd8d2x Nc3e4x Nd5f6- Ra1c1- Rf8d8- Rc1d1- Rd8d1x Kg2f3- Rd2a2x Ph2h4- Ra2b2x Kf3e4x Rb2b4x Ke4f3- Rb4c4$ Kf3e4- Rc4f4- Ph4h5- Rf4f1- Ke4f4- Rf1c1- Ph5h6- Rc1a1- Ph6h7x Ra1a7x Ph4h5- Ra7a2- Kf4e5- Ra2a3- Ke5e6- Ra3h3+ Ke6d5- Rh3h5x Kd5c4- Rh5g5+ Kc4d4- Rf1d1x Kd4c3- Rd1b1- Kc3b2- Rb1b2+","10","path obstruction","Pd2d4- Nb8c6- Pe2e3- Pe7e5- Bf1b5- Bf8c5- Pd4c5x Pd7d6- Pc2c3- Ng8f6- Nb1c3-","75 6 32 34 76 5 22 28 76 6 40 41 76 6 45 43 76 4 47 19 76 4 54 27 76 6 34 27 81 6 37 36 76 6 24 25 76 5 62 52 76 5 15 25 76 6 36 27 81 6 16 18 76 6 27 34 76 2 31 34 81 2 38 34 81 1 39 55 76 5 28 43 76 6 25 26 76 2 34 20 76 6 18 27 76 6 43 42 76 5 25 42 81 4 30 44 76 5 42 25 76 3 14 22 76 5 25 35 76 5 52 35 81 6 41 35 81 4 44 35 81 4 23 16 76 4 35 42 76 4 16 61 81 2 20 48 79 1 55 63 76 2 48 56 79 1 63 56 81 3 22 38 76 4 61 16 76 3 38 32 81 5 25 42 81 5 35 52 76 3 7 23 76 3 54 38 76 3 23 31 76 3 38 31 81 1 56 49 76 3 32 8 81 6 64 66 76 3 8 16 81 1 49 42 81 3 16 18 81 1 42 49 76 3 18 26 79 1 49 42 76 3 26 50 76 6 66 67 76 3 50 47 76 1 42 50 76 3 47 23 76 6 67 68 76 3 23 7 76 6 68 69 81 3 7 13 81 6 66 67 76 3 13 8 76 1 50 43 76 3 8 9 76 1 43 44 76 3 9 65 77 1 44 35 76 3 65 67 81 1 35 26 76 3 67 59 77 1 26 34 76 3 47 31 81 1 34 25 76 3 31 15 76 1 25 16 76 3 15 16 77"
"Nb1a3- Pe7e5- Na3c4- Qd8f6- Nc4e3- Nb8c6- Pd2d4- Nc6d4x Pc2c3- Pe5d4x Pc3d4x Qf6d4x Pa2a3- Nd4c2+ Qd1d2- Nc2a1x Qd2d1- Bf8b4+ Bc1d2- Qd4b2x Pa3b4x Ng8e7- Bd2b4x Bb4c3- Bf1c4- Pd7d5- Bc4b3- Ke8g8- Ke1g1- Pd5c4- Bb3a2- Pg7g6- Ba2b3- Bc3d4+ Bb3d5- Bd4e3$ Pe2e3x Pb7b5- Bd5b7- Ra8b8- Bb7e4- Ne7f5- Be4f5x Pg6f5x Bb3c2- Pf5f4- Pe3f4x Bc8h3- Pg2g3- Pb5b4- Bc2e4- Pb4b3- Be4b1- Pb3b2x Rf1e1- Pa7a5- Pa3a4- Bh3f5- Re1e2- Bf5b1x Pa4a5x Pb4b3- Re2e6- Kg8g7- Kg1g2- Pf7e6x Kg2g3- Rb8a8- Kg3g2- Rf8e8- Ph2h4- Re8e3- Ph4h5- Re3e4- Re6e3- Re4e3x Rd1e1- Re3f3+ Kg2f3x Rd2b2x","9","path obstruction","Nb1a3- Pe7e5- Na3c4- Qd8f6- Nc4e3- Nb8c6- Pd2d4- Nc6d4x Pc2c3- Pe5d4x","75 5 15 9 76 6 45 43 76 5 9 26 76 2 38 52 76 5 26 41 76 5 22 28 76 6 32 34 76 5 28 34 81 6 24 25 76 6 43 34 81 6 25 34 81 2 52 34 81 6 8 9 76 5 34 24 77 2 31 32 76 5 24 7 81 2 32 31 76 4 54 18 77 4 23 32 76 2 34 16 81 6 9 18 81 5 62 45 76 4 32 18 81 4 18 25 76 4 47 26 76 6 37 35 76 4 26 17 76 1 46 62 76 1 39 55 76 6 35 26 76 4 17 8 76 6 61 60 76 4 8 17 76 4 25 34 77 4 17 35 76 4 34 41 79 6 40 41 81 6 21 19 76 4 35 21 76 3 14 22 76 4 21 42 76 5 45 51 76 4 42 51 81 6 60 51 81 4 17 24 76 6 51 50 76 6 41 50 81 4 30 65 76 6 56 57 76 6 19 18 76 4 24 42 76 6 18 17 76 4 42 15 76 6 17 16 81 3 47 39 76 6 13 11 76 6 9 10 76 4 65 51 76 3 39 40 76 4 51 15 81 6 10 11 81 6 18 17 76 3 40 44 76 1 62 61 76 1 55 56 76 6 53 44 81 1 56 57 76 3 22 14 76 1 57 56 76 3 54 46 76 6 64 66 76 3 46 41 76 6 66 67 76 3 41 42 76 3 44 41 76 3 42 41 81 3 31 39 76 3 41 49 77 1 56 49 81 3 32 16 81"
"Pb2b4- Pa7a5- Pa2a4- Ra8a6- Ra1a2- Ra6c6- Ra2a3- Rc6c5- Ra3c3- Rc5d5- Pe2e3- Rd5c5- Ra1a2- Rc5c3x Rc3b3- Rd4d3x Rb3b7x Rd3a3- Rb7a8- Ra3a5- Ra8a5x Pa5a6- Ra8b8- Rd3d4- Rb8b7- Rd4e4+ Ke1e2- Re4e5- Nb1c3- Re5e4+ Ke2f3- Pe7e5- Bf1e1- Pe5e4+ Kf3e4x Pf7f5+ Ke4d5- Rd4c4+ Kd5c4x Pf5f4- Pg2g3- Ph7h5- Rh1h4- Ph5h4x Bc1b2- Pg7g5- Bb2d4- Pg5h4x Rb7c7x Pg5g4- Rc7c4x Re4d4x Bd4f4x Rh8h6- Rc4c3- Rh6h5+ Kg3h4x Rh5g5- Rh4h5x Pf4f3- Rh5g5x Rg5h5- Ph2h3- Rh5h3x Bd4h8- Rh3h1- Bh8f6- Rh1h8x Bf6g5- Rh8h3- Rc3c7- Rh3g3- Rc7c6- Rg3f3- Rc6c8x Rf3f1+ Kh4h5- Rf1f6- Rc8b8- Rf6f1-","12","pseudolegal","Pb2b4- Pa7a5- Pa2a4- Ra8a6- Ra1a2- Ra6c6- Ra2a3- Rc6c5- Ra3c3- Rc5d5- Pe2e3- Rd5c5- Ra1a2-","75 6 16 18 76 6 13 11 76 6 8 10 76 3 14 12 76 3 7 8 76 3 12 28 76 3 8 9 76 3 28 27 76 3 9 25 76 3 27 35 76 6 40 41 76 3 35 27 76 3 7 8 76 3 27 25 81 3 25 17 76 3 34 33 81 3 17 21 81 3 33 9 76 3 21 14 76 3 9 11 76 3 14 11 81 6 11 12 76 3 14 22 76 3 33 34 76 3 22 21 76 3 34 42 77 1 39 40 76 3 42 43 76 5 15 25 76 3 43 42 77 1 40 49 76 6 45 43 76 4 47 39 76 6 43 42 77 1 49 42 81 6 53 51 77 1 42 35 76 3 34 26 77 1 35 26 81 6 51 50 76 6 56 57 76 6 69 67 76 3 63 66 76 6 67 66 81 4 23 16 76 6 61 59 76 4 16 34 76 6 59 66 81 3 21 29 81 6 59 58 76 3 29 26 81 3 42 34 81 4 34 50 81 3 70 68 76 3 26 25 76 3 68 67 77 1 57 66 81 3 67 59 76 3 66 67 81 6 50 49 76 3 67 59 81 3 59 67 76 6 64 65 76 3 67 65 81 4 34 70 76 3 65 63 76 4 70 52 76 3 63 70 81 4 52 59 76 3 70 65 76 3 25 29 76 3 65 57 76 3 29 28 76 3 57 49 76 3 28 30 81 3 49 47 77 1 66 67 76 3 47 52 76 3 30 22 76 3 52 47 76"
"Pc2c4- Nb8c6- Pg2g3- Pf7f6- Bf1g2- Pe7e5- Nb1c3- Bf8d6- Qd1c2- Ng8e7- Ke1c1- Pa7a6- Pa2a3- Ne7g6- Ph2h4- Pb7b6- Bg2h3- Ng6e5- Bh3g2- Pg7g5- Qc2d2- Pg5g4- Pe2e4- Ph7h5- Pg3g4x Ph5g4x Pf2f3- Bc8b7- Nc3a4- Bb7c8- Na4c5- Pb6c5x Pf3g4x Bd6b4- Nc5b3- Ne5g4x Ph4h5- Pg6h5x Pe4e5- Nc6e5x Bg2f4- Bb4d6- Qd2b4- Pf6e5x Qb4d2- Pe5e4- Bf4e5- Pd7d6- Pc4c5x Pb6c5x Rh1h5x Ng4e5x Rh5e5$ Ke8f8- Bc1g5$ Rh8h5- Qd2e3+ Kf8f5- Pg4h5$ Kf5f6- Rd1d6x Ne5- Bg5e3d4+ Kf6e5- Bd4e5$ Ke5d6x Kc1d2- Ng8e7- Pb2b4- Ne7g8- Kd2c2- Rh5e5+ Kc2b1- Kd6c6- Pb4b5- Ne7c6- Kb1b2- Nc6e5- Rd6d4- Pc7c5x","10","path obstruction","Pc2c4- Nb8c6- Pg2g3- Pf7f6- Bf1g2- Pe7e5- Nb1c3- Bf8d6- Qd1c2- Ng8e7- Ke1c1-","75 6 24 26 76 5 22 28 76 6 56 57 76 6 53 52 76 4 47 56 76 6 45 43 76 5 15 25 76 4 54 36 76 2 31 24 76 5 62 45 76 1 39 23 76 6 13 12 76 6 8 9 76 5 45 60 76 6 64 66 76 6 21 20 76 4 56 65 76 5 60 43 76 4 65 56 76 6 61 59 76 2 24 32 76 6 59 58 76 6 40 42 76 6 69 67 76 6 57 58 81 6 67 58 81 6 48 49 76 4 30 21 76 5 25 10 76 4 21 30 76 5 10 27 76 6 20 27 81 6 49 58 81 4 36 18 76 5 27 17 76 5 43 58 81 6 66 67 76 6 60 67 81 6 42 43 76 5 28 43 81 4 56 50 76 4 18 36 76 2 32 18 76 6 52 43 81 2 18 32 76 6 43 42 76 4 50 43 76 6 37 36 76 6 26 27 81 6 20 27 81 3 63 67 81 5 58 43 81 3 67 43 79 1 46 54 76 4 23 59 79 3 70 67 76 2 32 41 77 1 54 51 76 6 58 67 79 1 51 52 76 3 31 36 81 5 43 76 4 59 41 34 77 1 52 43 76 4 34 43 79 1 43 36 81 1 23 32 76 5 62 45 76 6 16 18 76 5 45 62 76 1 32 24 76 3 67 43 77 1 24 15 76 1 36 28 76 6 18 19 76 5 45 28 76 1 15 16 76 5 28 43 76 3 36 34 76 6 29 27 81"
