"Position ID","Predicted Move","Correctness"
"0","Qd2g5x","true"
"1","Pd5c4x","true"
"2","Bc1a3x","true"
"3","Pg2g4-","true"
"4","Pd6e5x","true"
"5","Nf6h7x","true"
"6","Pf5g4x","true"
"7","Pd2d4-","true"
"8","Pd2d4-","true"
"9","Pd7d6-","true"
"10","Pg5g4-","true"
"11","Kc5b6-","true"
"12","Pb5a6x","true"
"13","Re3f3-","true"
"14","Bf4d6x","true"
"15","Nc7e6-","true"
"16","Kd6c5-","false"
"17","Be5d6x","true"
"18","Bb5d3-","true"
"19","Rc3c4$","true"
"20","Kd7c7-","true"
"21","Ke8f7-","true"
"22","Bc8d7x","true"
"23","Nf6h7x","true"
"24","Kf1g2x","true"
"25","Ph7g6x","true"
"26","Ke1e2-","true"
"27","Kg8h8-","true"
"28","Ke8e7-","true"
"29","Nh6f7-","true"
"30","Nc5e6-","true"
"31","Kc1b1-","false"
"32","Kg3f2x","true"
"33","Ke8e7x","true"
"34","Kc1c2x","true"
"35","Bd3e2-","true"
"36","Kc1b1-","true"
"37","Kg8h7-","true"
"38","Kh7h8-","true"
"39","Bf1h3-","true"
"40","Nc3d1x","true"
"41","Nh6g4x","true"
"42","Ra8d8-","true"
"43","Ng8e7x","true"
"44","Ne5f3-","true"
"45","Nb8c6-","true"
"46","Pe7f6x","false"
"47","Bd5e6-","true"
"48","Qd2d1-","true"
"49","Kg8f7-","true"
"50","Pf2f3-","true"
"51","Ke8e7-","true"
"52","Pg4h5x","true"
"53","Pb2b4-","true"
"54","Ph4g3x","true"
"55","Bg5f6x","true"
"56","Pf2f4-","false"
"57","Ph7h6-","true"
"58","Re8f8-","true"
"59","Bf1c4-","true"
"60","Qa5d5-","true"
"61","Ng1e2-","true"
"62","Be3f4-","true"
"63","Bd2c3-","true"
"64","K","false"
"65","Bc8d7-","true"
"66","Pb7b5-","true"
